Bundestagswahl 2013

Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;

1;"Flensburg - Schleswig";1;226944;;;;;;;;;;;;;;;;;;61347;;;;52396;;;;8065;;;;9084;;;;15734;;;;;;;;3183;;;;929;;;;1459;;;;;;;;;;;;;;;;;;;;790;;;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;;6563;;;;;;;;;;;;;;;;;;;;1042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"Nordfriesland - Dithmarschen Nord";1;186177;;;;;;;;;;;;;;;;;;56383;;;;38590;;;;8321;;;;5733;;;;10547;;;;;;;;2413;;;;733;;;;969;;;;;;;;;;;;;;;;;;;;561;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;4994;;;;;;;;;;;;;;;;;;;;755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"Steinburg - Dithmarschen Süd";1;176731;;;;;;;;;;;;;;;;;;52408;;;;37502;;;;7689;;;;6286;;;;9485;;;;;;;;2709;;;;1038;;;;930;;;;;;;;;;;;;;;;;;;;516;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;;5492;;;;;;;;;;;;;;;;;;;;869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Rendsburg-Eckernförde";1;198903;;;;;;;;;;;;;;;;;;60349;;;;46658;;;;8126;;;;6447;;;;13707;;;;;;;;2620;;;;854;;;;1290;;;;;;;;;;;;;;;;;;;;668;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;6500;;;;;;;;;;;;;;;;;;;;716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Kiel";1;205243;;;;;;;;;;;;;;;;;;43893;;;;50262;;;;7708;;;;10023;;;;20394;;;;;;;;3946;;;;802;;;;1201;;;;;;;;;;;;;;;;;;;;817;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;;5379;;;;;;;;;;;;;;;;;;;;473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Plön - Neumünster";1;174746;;;;;;;;;;;;;;;;;;48683;;;;41094;;;;6722;;;;5987;;;;11577;;;;;;;;2154;;;;1159;;;;1004;;;;;;;;;;;;;;;;;;;;535;;;;;;;;;;;;;;;;;;;;46;;;;;;;;;;;;5901;;;;;;;;;;;;;;;;;;;;711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Pinneberg";1;235610;;;;;;;;;;;;;;;;;;72006;;;;55371;;;;9863;;;;8910;;;;15291;;;;;;;;3370;;;;1319;;;;1271;;;;;;;;;;;;;;;;;;;;665;;;;;;;;;;;;;;;;;;;;42;;;;;;;;;;;;8479;;;;;;;;;;;;;;;;;;;;786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Segeberg - Stormarn-Mitte";1;244240;;;;;;;;;;;;;;;;;;74161;;;;54691;;;;10449;;;;9112;;;;15695;;;;;;;;3686;;;;1307;;;;1534;;;;;;;;;;;;;;;;;;;;746;;;;;;;;;;;;;;;;;;;;46;;;;;;;;;;;;9034;;;;;;;;;;;;;;;;;;;;1129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
