einwohnerzahl	2009		
Name	Anzahl		
Baden-Württemberg	9483476		
Bayern	11344794		
Berlin	2951272		
Brandenburg	2457703		
Bremen	578369		
Hamburg	1526860		
Hessen	5390683		
Mecklenburg-Vorpommern	1625022		
Niedersachsen	7423245		
Nordrhein-Westfalen	16046200		
Rheinland-Pfalz	3720049		
Saarland	944527		
Sachsen	4077550		
Sachsen-Anhalt	2339042		
Schleswig-Holstein	2687035		
Thüringen	2220669		
			
farben_parteien			
Name	Rot	Grün	Blau
SPD	226	0	25
CDU	0	0	0
CSU	0	0	0
FDP	255	255	0
DIE LINKE	220	0	0
GRÜNE	70	187	0
PIRATEN	255	128	0
NPD	139	90	43
Tierschutzpartei	255	255	255
REP	0	100	169
ÖDP	240	110	0
FAMILIE	243	119	45
AfD	0	158	224
RENTNER	243	119	45
DIE VIOLETTEN	163	73	164
MLPD	220	0	0
BIG	243	119	45
default	192	192	192
			
