Bundestagswahl 2009
Endgültig
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;
;;;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode
1;Flensburg - Schleswig;1;226944;225216;;;162749;163329;;;2223;4117;2113;4181;160526;159212;160636;159148;68235;61793;61347;51068
2;Nordfriesland - Dithmarschen Nord;1;186177;187047;;;131527;134671;;;1648;3382;1483;3218;129879;131289;130044;131453;64678;56751;56383;47947
1;Schleswig-Holstein;99;413121;412263;;;294276;298000;;;3871;7499;3596;7399;290405;290501;290680;290601;132913;118544;117730;99015

18;Hamburg-Mitte;2;256862;249150;;;168465;164566;;;2445;2660;2252;2033;166020;161906;166213;162533;46753;43306;44947;38459
19;Hamburg-Altona;2;182776;178340;;;135857;133657;;;1454;1552;1393;1358;134403;132105;134464;132299;43609;39303;39581;34197
2;Hamburg;99;439638;427490;;;304322;298223;;;3899;4212;3645;3391;300423;294011;300677;294832;90362;82609;84528;72656

99;Bundesgebiet;;852759;839753;;;598598;596223;;;7770;11711;7241;10790;590828;584512;591357;585433;223275;201153;202258;171671
